,Lineup
8348,"['Jose Berrios (15257965)', 'Kyle Hendricks (15257963)', 'Willson Contreras (15258020)', 'Bobby Dalbec (15258279)', 'Jake Cronenworth (15258100)', 'Luis Urias (15258105)', 'Willy Adames (15258089)', 'Randy Arozarena (15258226)', 'Christian Yelich (15258006)', 'Nelson Cruz (15257978)']"
8349,"['Kyle Hendricks (15257963)', 'Jordan Montgomery (15257966)', 'Gary Sanchez (15258079)', 'Shohei Ohtani (15258029)', 'Luis Urias (15258105)', 'Jose Ramirez (15258011)', 'Corey Seager (15257993)', 'J.D. Martinez (15258003)', 'Jurickson Profar (15258158)', 'Tyler Naquin (15258296)']"
8350,"['Jordan Montgomery (15257966)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Eric Hosmer (15258062)', 'Keston Hiura (15258000)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Josh Naylor (15258539)', 'Christian Yelich (15258006)', 'Max Kepler (15258061)']"
8351,"['Triston McKenzie (15257970)', 'Jose Berrios (15257965)', 'Kevan Smith (15258191)', 'Shohei Ohtani (15258029)', 'Jake Cronenworth (15258100)', 'Jose Ramirez (15258011)', 'Jorge Polanco (15258025)', 'Franmil Reyes (15258094)', 'Trent Grisham (15258083)', 'Christian Yelich (15258006)']"
8352,"['Max Scherzer (15257957)', 'Jordan Montgomery (15257966)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Keston Hiura (15258000)', 'Luis Urias (15258105)', 'Javier Baez (15258058)', 'Max Kepler (15258061)', 'Adam Frazier (15258194)', 'Justin Upton (15258328)']"
8353,"['Dinelson Lamet (15257959)', 'Jose Berrios (15257965)', 'Yasmani Grandal (15258024)', 'Mitch Moreland (15258080)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Victor Reyes (15258186)', 'Max Kepler (15258061)', 'Wil Myers (15258127)']"
8354,"['Jose Berrios (15257965)', 'Zack Wheeler (15257960)', 'Jacob Stallings (15258258)', 'Josh Bell (15258155)', 'Jake Cronenworth (15258100)', 'Manny Machado (15258022)', 'Adalberto Mondesi (15258218)', 'Christian Yelich (15258006)', 'Max Kepler (15258061)', 'J.D. Martinez (15258003)']"
8355,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Daulton Varsho (15258498)', 'Josh Bell (15258155)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Xander Bogaerts (15258001)', 'Christian Yelich (15258006)', 'Jurickson Profar (15258158)', 'Franmil Reyes (15258094)']"
8356,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Daulton Varsho (15258498)', 'Bobby Dalbec (15258279)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Max Kepler (15258061)', 'Shohei Ohtani (15258029)', 'Ben Gamel (15258252)']"
8357,"['Dinelson Lamet (15257959)', 'Max Scherzer (15257957)', 'Daulton Varsho (15258498)', 'Max Muncy (15257988)', 'Cesar Hernandez (15258088)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Eddie Rosario (15258085)', 'Wil Myers (15258127)', 'Ben Gamel (15258252)']"
8358,"['Triston McKenzie (15257970)', 'Kyle Hendricks (15257963)', 'Willson Contreras (15258020)', 'Shohei Ohtani (15258029)', 'Adam Frazier (15258194)', 'Yoan Moncada (15257995)', 'Javier Baez (15258058)', 'Jurickson Profar (15258158)', 'Christian Yelich (15258006)', 'Avisail Garcia (15258163)']"
8359,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Yasmani Grandal (15258024)', 'Josh Bell (15258155)', 'DJ LeMahieu (15258035)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Delino DeShields (15258515)', 'Aaron Hicks (15258148)']"
8360,"['Adrian Houser (15258614)', 'Kyle Hendricks (15257963)', 'Omar Narvaez (15258140)', 'Mitch Moreland (15258080)', 'Adam Frazier (15258194)', 'Manny Machado (15258022)', 'Trea Turner (15257986)', 'Josh Naylor (15258539)', 'Juan Soto (15257981)', 'Trent Grisham (15258083)']"
8361,"['Kyle Hendricks (15257963)', 'Jose Berrios (15257965)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Cesar Hernandez (15258088)', 'Bobby Dalbec (15258279)', 'Willy Adames (15258089)', 'Tyler Naquin (15258296)', 'Christian Yelich (15258006)', 'Juan Soto (15257981)']"
8362,"['Max Scherzer (15257957)', 'Jose Berrios (15257965)', 'Roberto Perez (15258281)', 'Josh Bell (15258155)', 'Jake Cronenworth (15258100)', 'DJ LeMahieu (15258035)', 'Trea Turner (15257986)', 'Juan Soto (15257981)', 'Trent Grisham (15258083)', 'Nomar Mazara (15258349)']"
8363,"['Walker Buehler (15258586)', 'Jordan Montgomery (15257966)', 'Kurt Suzuki (15258087)', 'Mitch Moreland (15258080)', 'Tyler Wade (15258388)', 'Jose Ramirez (15258011)', 'Kevin Newman (15258129)', 'Mike Trout (15257980)', 'Jose Martinez (15259170)', 'Randy Arozarena (15258226)']"
8364,"['Jose Berrios (15257965)', 'Triston McKenzie (15257970)', 'Gary Sanchez (15258079)', 'Jose Martinez (15259170)', 'Michael Chavis (15258110)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'Christian Yelich (15258006)', 'Shohei Ohtani (15258029)', 'Victor Reyes (15258186)']"
8365,"['Max Scherzer (15257957)', 'Walker Buehler (15258586)', 'Daulton Varsho (15258498)', 'Mitch Moreland (15258080)', 'Jose Peraza (15258324)', 'Max Muncy (15257988)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Jorge Soler (15258074)', 'Victor Reyes (15258186)']"
8366,"['Max Scherzer (15257957)', 'Triston McKenzie (15257970)', 'Jacob Stallings (15258258)', 'Howie Kendrick (15258070)', 'Michael Chavis (15258110)', 'DJ LeMahieu (15258035)', 'Xander Bogaerts (15258001)', 'Eddie Rosario (15258085)', 'Max Kepler (15258061)', 'Trent Grisham (15258083)']"
8367,"['Triston McKenzie (15257970)', 'Jordan Montgomery (15257966)', 'Willson Contreras (15258020)', 'Howie Kendrick (15258070)', 'Adam Frazier (15258194)', 'Max Muncy (15257988)', 'Xander Bogaerts (15258001)', 'Franmil Reyes (15258094)', 'Mookie Betts (15257977)', 'Tyler Naquin (15258296)']"
8368,"['Kyle Hendricks (15257963)', 'Triston McKenzie (15257970)', 'J.T. Realmuto (15258010)', 'Luke Voit (15258071)', 'Jonathan Schoop (15258064)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Max Kepler (15258061)', 'Delino DeShields (15258515)', 'Christian Yelich (15258006)']"
8369,"['Kyle Hendricks (15257963)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Michael Chavis (15258110)', 'Kevin Newman (15258129)', 'Max Muncy (15257988)', 'Francisco Lindor (15258007)', 'Victor Reyes (15258186)', 'Franmil Reyes (15258094)', 'Aaron Hicks (15258148)']"
8370,"['Adrian Houser (15258614)', 'Zack Wheeler (15257960)', 'Roberto Perez (15258281)', 'Shohei Ohtani (15258029)', 'Jake Cronenworth (15258100)', 'Manny Machado (15258022)', 'Jorge Polanco (15258025)', 'Tyler Naquin (15258296)', 'Trent Grisham (15258083)', 'Christian Yelich (15258006)']"
8371,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Mitch Moreland (15258080)', 'Cesar Hernandez (15258088)', 'Manny Machado (15258022)', 'Francisco Lindor (15258007)', 'Hunter Renfroe (15258151)', 'Trent Grisham (15258083)', 'Max Kepler (15258061)']"
8372,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Bobby Dalbec (15258279)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Xander Bogaerts (15258001)', 'Christian Yelich (15258006)', 'Tyler Naquin (15258296)', 'Trent Grisham (15258083)']"
8373,"['Jose Berrios (15257965)', 'Max Scherzer (15257957)', 'Yasmani Grandal (15258024)', 'Luke Voit (15258071)', 'Keston Hiura (15258000)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Gregory Polanco (15258267)', 'Jose Martinez (15259170)', 'Victor Reyes (15258186)']"
8374,"['Triston McKenzie (15257970)', 'Jordan Montgomery (15257966)', 'Willson Contreras (15258020)', 'Eric Hosmer (15258062)', 'Adam Frazier (15258194)', 'Josh Donaldson (15258175)', 'Tim Anderson (15257991)', 'Franmil Reyes (15258094)', 'Max Kepler (15258061)', 'Mookie Betts (15257977)']"
8375,"['Walker Buehler (15258586)', 'Dinelson Lamet (15257959)', 'Omar Narvaez (15258140)', 'Bobby Dalbec (15258279)', 'Jake Cronenworth (15258100)', 'Josh Donaldson (15258175)', 'Kevin Newman (15258129)', 'Eddie Rosario (15258085)', 'Mookie Betts (15257977)', 'Adam Frazier (15258194)']"
8376,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Carlos Santana (15258097)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Victor Reyes (15258186)', 'Mike Trout (15257980)', 'Ian Happ (15258086)']"
8377,"['Jose Berrios (15257965)', 'Walker Buehler (15258586)', 'Gary Sanchez (15258079)', 'Shohei Ohtani (15258029)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Tyler Naquin (15258296)', 'Justin Upton (15258328)', 'Adam Frazier (15258194)']"
8378,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Yasmani Grandal (15258024)', 'Josh Bell (15258155)', 'Jose Peraza (15258324)', 'Jose Ramirez (15258011)', 'Tyler Wade (15258388)', 'Victor Reyes (15258186)', 'J.D. Martinez (15258003)', 'Trent Grisham (15258083)']"
8379,"['Max Scherzer (15257957)', 'Walker Buehler (15258586)', 'Gary Sanchez (15258079)', 'Josh Bell (15258155)', 'Luis Urias (15258105)', 'Bobby Dalbec (15258279)', 'Adalberto Mondesi (15258218)', 'Daulton Varsho (15258498)', 'Juan Soto (15257981)', 'Christian Yelich (15258006)']"
8380,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Yasmani Grandal (15258024)', 'Mitch Moreland (15258080)', 'Cesar Hernandez (15258088)', 'Bobby Dalbec (15258279)', 'Trea Turner (15257986)', 'Ben Gamel (15258252)', 'Gregory Polanco (15258267)', 'Trent Grisham (15258083)']"
8381,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Omar Narvaez (15258140)', 'Mitch Moreland (15258080)', 'Jonathan Schoop (15258064)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'Eddie Rosario (15258085)', 'Wil Myers (15258127)', 'Christian Yelich (15258006)']"
8382,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Luke Voit (15258071)', 'Jake Cronenworth (15258100)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Franmil Reyes (15258094)', 'Adam Frazier (15258194)']"
8383,"['Jose Berrios (15257965)', 'Kyle Hendricks (15257963)', 'Willson Contreras (15258020)', 'Shohei Ohtani (15258029)', 'Adam Frazier (15258194)', 'Luis Urias (15258105)', 'Trea Turner (15257986)', 'Christian Yelich (15258006)', 'Ben Gamel (15258252)', 'Trent Grisham (15258083)']"
8384,"['Jordan Montgomery (15257966)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Luke Voit (15258071)', 'Luis Urias (15258105)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Christian Yelich (15258006)', 'Daulton Varsho (15258498)', 'Mookie Betts (15257977)']"
8385,"['Kyle Hendricks (15257963)', 'Adrian Houser (15258614)', 'Gary Sanchez (15258079)', 'Bobby Dalbec (15258279)', 'DJ LeMahieu (15258035)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Avisail Garcia (15258163)', 'Trent Grisham (15258083)', 'Juan Soto (15257981)']"
8386,"['Charlie Morton (15257964)', 'Jose Berrios (15257965)', 'Jacob Stallings (15258258)', 'Howie Kendrick (15258070)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Xander Bogaerts (15258001)', 'Franmil Reyes (15258094)', 'Max Kepler (15258061)', 'Jurickson Profar (15258158)']"
8387,"['Adrian Houser (15258614)', 'Jose Berrios (15257965)', 'Roberto Perez (15258281)', 'Cody Bellinger (15257984)', 'Jake Cronenworth (15258100)', 'Manny Machado (15258022)', 'Didi Gregorius (15258059)', 'Franmil Reyes (15258094)', 'Trent Grisham (15258083)', 'Christian Yelich (15258006)']"
8388,"['Jordan Montgomery (15257966)', 'Dinelson Lamet (15257959)', 'Omar Narvaez (15258140)', 'Luke Voit (15258071)', 'Cesar Hernandez (15258088)', 'Maikel Franco (15258137)', 'Francisco Lindor (15258007)', 'Shohei Ohtani (15258029)', 'Jorge Soler (15258074)', 'Franmil Reyes (15258094)']"
8389,"['Dinelson Lamet (15257959)', 'Triston McKenzie (15257970)', 'Gary Sanchez (15258079)', 'Bobby Dalbec (15258279)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Ian Happ (15258086)', 'J.D. Martinez (15258003)', 'Christian Yelich (15258006)']"
8390,"['Kyle Hendricks (15257963)', 'Jose Berrios (15257965)', 'Roberto Perez (15258281)', 'Shohei Ohtani (15258029)', 'Cesar Hernandez (15258088)', 'Manny Machado (15258022)', 'Willy Adames (15258089)', 'Christian Yelich (15258006)', 'Franmil Reyes (15258094)', 'Max Kepler (15258061)']"
8391,"['Triston McKenzie (15257970)', 'Walker Buehler (15258586)', 'Jacob Stallings (15258258)', 'Shohei Ohtani (15258029)', 'Keston Hiura (15258000)', 'Josh Donaldson (15258175)', 'Xander Bogaerts (15258001)', 'Max Kepler (15258061)', 'Shohei Ohtani (15258029)', 'Randy Arozarena (15258226)']"
8392,"['Max Scherzer (15257957)', 'Triston McKenzie (15257970)', 'Roberto Perez (15258281)', 'Carlos Santana (15258097)', 'DJ LeMahieu (15258035)', 'Jose Ramirez (15258011)', 'Adalberto Mondesi (15258218)', 'Nelson Cruz (15257978)', 'Aaron Hicks (15258148)', 'Shohei Ohtani (15258029)']"
8393,"['Triston McKenzie (15257970)', 'Zack Wheeler (15257960)', 'Willson Contreras (15258020)', 'Justin Smoak (15258112)', 'Adam Frazier (15258194)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Aaron Hicks (15258148)', 'Wil Myers (15258127)', 'Christian Yelich (15258006)']"
8394,"['Max Scherzer (15257957)', 'Dinelson Lamet (15257959)', 'Daulton Varsho (15258498)', 'Josh Bell (15258155)', 'Jonathan Schoop (15258064)', 'Luis Urias (15258105)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'Josh Naylor (15258539)', 'Trent Grisham (15258083)']"
8395,"['Jose Berrios (15257965)', 'Triston McKenzie (15257970)', 'Yasmani Grandal (15258024)', 'Eric Hosmer (15258062)', 'Cesar Hernandez (15258088)', 'Manny Machado (15258022)', 'Adalberto Mondesi (15258218)', 'J.D. Martinez (15258003)', 'Trent Grisham (15258083)', 'Juan Soto (15257981)']"
8396,"['Jordan Montgomery (15257966)', 'Max Scherzer (15257957)', 'Jacob Stallings (15258258)', 'Josh Bell (15258155)', 'Jonathan Schoop (15258064)', 'Luis Urias (15258105)', 'Javier Baez (15258058)', 'Wil Myers (15258127)', 'Max Kepler (15258061)', 'Christian Yelich (15258006)']"
8397,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Jose Martinez (15259170)', 'Keston Hiura (15258000)', 'Max Muncy (15257988)', 'Francisco Lindor (15258007)', 'Aaron Hicks (15258148)', 'Max Kepler (15258061)', 'Jose Peraza (15258324)']"
8398,"['Dinelson Lamet (15257959)', 'Jordan Montgomery (15257966)', 'Daulton Varsho (15258498)', 'Howie Kendrick (15258070)', 'Keston Hiura (15258000)', 'Jose Ramirez (15258011)', 'Xander Bogaerts (15258001)', 'Jurickson Profar (15258158)', 'Trent Grisham (15258083)', 'Ian Happ (15258086)']"
8399,"['Jordan Montgomery (15257966)', 'Max Scherzer (15257957)', 'Daulton Varsho (15258498)', 'Eric Hosmer (15258062)', 'Adam Frazier (15258194)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Franmil Reyes (15258094)', 'Trent Grisham (15258083)', 'Shohei Ohtani (15258029)']"
8400,"['Kyle Hendricks (15257963)', 'Jordan Montgomery (15257966)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Xander Bogaerts (15258001)', 'Avisail Garcia (15258163)', 'Jose Peraza (15258324)', 'Christian Yelich (15258006)']"
8401,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Willson Contreras (15258020)', 'Eric Hosmer (15258062)', 'DJ LeMahieu (15258035)', 'Manny Machado (15258022)', 'Adalberto Mondesi (15258218)', 'Jose Peraza (15258324)', 'Christian Yelich (15258006)', 'Ben Gamel (15258252)']"
8402,"['Jose Berrios (15257965)', 'Adrian Houser (15258614)', 'J.T. Realmuto (15258010)', 'Bobby Dalbec (15258279)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Xander Bogaerts (15258001)', 'Franmil Reyes (15258094)', 'Adam Frazier (15258194)', 'Trent Grisham (15258083)']"
8403,"['Dinelson Lamet (15257959)', 'Adrian Houser (15258614)', 'Omar Narvaez (15258140)', 'Bobby Dalbec (15258279)', 'DJ LeMahieu (15258035)', 'Josh Donaldson (15258175)', 'Jorge Polanco (15258025)', 'Christian Yelich (15258006)', 'Jorge Soler (15258074)', 'Franmil Reyes (15258094)']"
8404,"['Walker Buehler (15258586)', 'Jose Berrios (15257965)', 'Yasmani Grandal (15258024)', 'Josh Bell (15258155)', 'Adam Frazier (15258194)', 'Luis Urias (15258105)', 'Xander Bogaerts (15258001)', 'Alex Verdugo (15258039)', 'Ben Gamel (15258252)', 'Trent Grisham (15258083)']"
8405,"['Max Scherzer (15257957)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Carlos Santana (15258097)', 'Michael Chavis (15258110)', 'Manny Machado (15258022)', 'Corey Seager (15257993)', 'Eddie Rosario (15258085)', 'Jurickson Profar (15258158)', 'Victor Robles (15258396)']"
8406,"['Jordan Montgomery (15257966)', 'Triston McKenzie (15257970)', 'Gary Sanchez (15258079)', 'Luke Voit (15258071)', 'Jonathan Schoop (15258064)', 'Jose Ramirez (15258011)', 'Tim Anderson (15257991)', 'Jorge Soler (15258074)', 'Franmil Reyes (15258094)', 'Andrew McCutchen (15258090)']"
8407,"['Max Scherzer (15257957)', 'Jordan Montgomery (15257966)', 'Daulton Varsho (15258498)', 'Howie Kendrick (15258070)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Avisail Garcia (15258163)', 'Tyler Naquin (15258296)', 'Christian Yelich (15258006)']"
8408,"['Max Scherzer (15257957)', 'Dinelson Lamet (15257959)', 'Gary Sanchez (15258079)', 'Bobby Dalbec (15258279)', 'Jose Peraza (15258324)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Andrew McCutchen (15258090)', 'J.D. Martinez (15258003)', 'Wil Myers (15258127)']"
8409,"['Kyle Hendricks (15257963)', 'Jose Berrios (15257965)', 'Yasmani Grandal (15258024)', 'Eric Hosmer (15258062)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Xander Bogaerts (15258001)', 'J.D. Martinez (15258003)', 'Victor Robles (15258396)', 'Jose Peraza (15258324)']"
8410,"['Dinelson Lamet (15257959)', 'Triston McKenzie (15257970)', 'J.T. Realmuto (15258010)', 'Anthony Rizzo (15258004)', 'Luis Urias (15258105)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Shohei Ohtani (15258029)', 'Delino DeShields (15258515)', 'Victor Reyes (15258186)']"
8411,"['Jose Berrios (15257965)', 'Walker Buehler (15258586)', 'Jacob Stallings (15258258)', 'Bobby Dalbec (15258279)', 'Jonathan Schoop (15258064)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Mike Trout (15257980)', 'Ian Happ (15258086)', 'Shohei Ohtani (15258029)']"
8412,"['Spencer Turnbull (15258611)', 'Dinelson Lamet (15257959)', 'Daulton Varsho (15258498)', 'Max Muncy (15257988)', 'Keston Hiura (15258000)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Shohei Ohtani (15258029)', 'Ben Gamel (15258252)', 'Randy Arozarena (15258226)']"
8413,"['Max Scherzer (15257957)', 'Adrian Houser (15258614)', 'Roberto Perez (15258281)', 'Jose Martinez (15259170)', 'Cesar Hernandez (15258088)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Wil Myers (15258127)', 'Juan Soto (15257981)']"
8414,"['Dinelson Lamet (15257959)', 'Jordan Montgomery (15257966)', 'Willson Contreras (15258020)', 'Josh Bell (15258155)', 'Cesar Hernandez (15258088)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Ian Happ (15258086)', 'Christian Yelich (15258006)', 'Trent Grisham (15258083)']"
8415,"['Kyle Hendricks (15257963)', 'Adrian Houser (15258614)', 'Willson Contreras (15258020)', 'Eric Hosmer (15258062)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Willy Adames (15258089)', 'Trent Grisham (15258083)', 'Christian Yelich (15258006)', 'Adam Frazier (15258194)']"
8416,"['Kyle Hendricks (15257963)', 'Reynaldo Lopez (15257973)', 'Willson Contreras (15258020)', 'Jose Martinez (15259170)', 'Adam Frazier (15258194)', 'Manny Machado (15258022)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Shohei Ohtani (15258029)', 'Juan Soto (15257981)']"
8417,"['Kyle Hendricks (15257963)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Mitch Moreland (15258080)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Christian Yelich (15258006)', 'Wil Myers (15258127)', 'Victor Robles (15258396)']"
8418,"['Triston McKenzie (15257970)', 'Kyle Hendricks (15257963)', 'Willson Contreras (15258020)', 'Shohei Ohtani (15258029)', 'Keston Hiura (15258000)', 'Josh Donaldson (15258175)', 'Javier Baez (15258058)', 'Victor Reyes (15258186)', 'Max Kepler (15258061)', 'Shohei Ohtani (15258029)']"
8419,"['Charlie Morton (15257964)', 'Walker Buehler (15258586)', 'Omar Narvaez (15258140)', 'Josh Bell (15258155)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Kevin Newman (15258129)', 'J.D. Martinez (15258003)', 'Max Kepler (15258061)', 'Ben Gamel (15258252)']"
8420,"['Dinelson Lamet (15257959)', 'Jose Berrios (15257965)', 'Daulton Varsho (15258498)', 'Shohei Ohtani (15258029)', 'Keston Hiura (15258000)', 'Josh Donaldson (15258175)', 'Francisco Lindor (15258007)', 'Max Kepler (15258061)', 'Aaron Hicks (15258148)', 'Trent Grisham (15258083)']"
8421,"['Max Scherzer (15257957)', 'Triston McKenzie (15257970)', 'Roberto Perez (15258281)', 'Howie Kendrick (15258070)', 'Keston Hiura (15258000)', 'Bobby Dalbec (15258279)', 'Trea Turner (15257986)', 'Juan Soto (15257981)', 'Shohei Ohtani (15258029)', 'Daulton Varsho (15258498)']"
8422,"['Jose Berrios (15257965)', 'Walker Buehler (15258586)', 'Daulton Varsho (15258498)', 'Luke Voit (15258071)', 'Jose Peraza (15258324)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Shohei Ohtani (15258029)', 'Tyler Naquin (15258296)', 'Christian Yelich (15258006)']"
8423,"['Jose Berrios (15257965)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Cody Bellinger (15257984)', 'DJ LeMahieu (15258035)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Avisail Garcia (15258163)', 'Aaron Hicks (15258148)', 'Adam Frazier (15258194)']"
8424,"['Max Scherzer (15257957)', 'Dinelson Lamet (15257959)', 'Roberto Perez (15258281)', 'Josh Bell (15258155)', 'Keston Hiura (15258000)', 'Josh Donaldson (15258175)', 'Willy Adames (15258089)', 'Christian Yelich (15258006)', 'Jose Peraza (15258324)', 'Randy Arozarena (15258226)']"
8425,"['Max Scherzer (15257957)', 'Charlie Morton (15257964)', 'Roberto Perez (15258281)', 'Carlos Santana (15258097)', 'Keston Hiura (15258000)', 'Luis Urias (15258105)', 'Francisco Lindor (15258007)', 'Trent Grisham (15258083)', 'Jurickson Profar (15258158)', 'Randy Arozarena (15258226)']"
8426,"['Max Scherzer (15257957)', 'Triston McKenzie (15257970)', 'Daulton Varsho (15258498)', 'Jose Martinez (15259170)', 'Kevin Newman (15258129)', 'Jose Ramirez (15258011)', 'Francisco Lindor (15258007)', 'Victor Reyes (15258186)', 'Christian Yelich (15258006)', 'Max Kepler (15258061)']"
8427,"['Adrian Houser (15258614)', 'Jose Berrios (15257965)', 'Gary Sanchez (15258079)', 'Carlos Santana (15258097)', 'Keston Hiura (15258000)', ""Ke'Bryan Hayes (15258566)"", 'Adalberto Mondesi (15258218)', 'Eddie Rosario (15258085)', 'J.D. Martinez (15258003)', 'Mike Trout (15257980)']"
8428,"['Jordan Montgomery (15257966)', 'Walker Buehler (15258586)', 'Daulton Varsho (15258498)', 'Justin Smoak (15258112)', 'Cesar Hernandez (15258088)', 'Jose Ramirez (15258011)', 'Trea Turner (15257986)', 'Ian Happ (15258086)', 'Trent Grisham (15258083)', 'Victor Reyes (15258186)']"
8429,"['Triston McKenzie (15257970)', 'Max Scherzer (15257957)', 'Roberto Perez (15258281)', 'Howie Kendrick (15258070)', 'Adam Frazier (15258194)', 'Jose Ramirez (15258011)', 'Javier Baez (15258058)', 'Trent Grisham (15258083)', 'Jorge Soler (15258074)', 'J.D. Martinez (15258003)']"
8430,"['Jose Berrios (15257965)', 'Zack Wheeler (15257960)', 'Kurt Suzuki (15258087)', 'Shohei Ohtani (15258029)', 'Keston Hiura (15258000)', 'Bobby Dalbec (15258279)', 'Corey Seager (15257993)', 'AJ Pollock (15258091)', 'Delino DeShields (15258515)', 'Max Kepler (15258061)']"
8431,"['Dinelson Lamet (15257959)', 'Walker Buehler (15258586)', 'Willson Contreras (15258020)', 'Mitch Moreland (15258080)', 'Jonathan Schoop (15258064)', 'Josh Donaldson (15258175)', 'Adalberto Mondesi (15258218)', 'Jay Bruce (15258298)', 'Jose Peraza (15258324)', 'Juan Soto (15257981)']"
8432,"['Adrian Houser (15258614)', 'Triston McKenzie (15257970)', 'J.T. Realmuto (15258010)', 'Miguel Cabrera (15258142)', 'Jose Peraza (15258324)', 'DJ LeMahieu (15258035)', 'Javier Baez (15258058)', 'Christian Yelich (15258006)', 'J.D. Martinez (15258003)', 'Eddie Rosario (15258085)']"
8433,"['Kyle Hendricks (15257963)', 'Jose Berrios (15257965)', 'Willson Contreras (15258020)', 'Bobby Dalbec (15258279)', 'Mike Brosseau (15258014)', 'Bobby Dalbec (15258279)', 'Javier Baez (15258058)', 'Max Kepler (15258061)', 'Juan Soto (15257981)', 'Victor Reyes (15258186)']"
8434,"['Jordan Montgomery (15257966)', 'Max Scherzer (15257957)', 'Yasmani Grandal (15258024)', 'Howie Kendrick (15258070)', 'Tyler Wade (15258388)', 'Asdrubal Cabrera (15258026)', 'Javier Baez (15258058)', 'Randy Arozarena (15258226)', 'J.D. Martinez (15258003)', 'Ian Happ (15258086)']"
